name,address,tel,city,province
红河东峻天恒汽车销售服务有限公司 ,云南省红河州开远市灵泉东路13号,0873-7121777,红河哈尼族彝族自治州,云南省
文山联赢汽车经贸有限责任公司 ,文山国际汽车城,0876-2140111,文山壮族苗族自治州,云南省
大理汇正汽车销售服务有限公司 ,云南省大理白族自治州大理市大理经济开发区苍山东路430号,0872-2202588,大理白族自治州,云南省
临沧添福源福致汽车销售有限公司 ,云南省临沧市临翔区缅宁大道214线交叉路口,0883-2888288,临沧市,云南省
拉萨市协合汽车贸易有限公司 ,拉萨市北京西路(哲蚌寺路口对面),0891-6861555,拉萨市,西藏自治区
陕西威标汽车销售服务有限公司 ,陕西省西安市经济技术开发区凤城五路中段,029-86521002,西安市,陕西省
宝鸡佳驰汽车销售服务有限公司 ,宝鸡市陈仓物流园区车站路路西,0917-3685555,宝鸡市,陕西省
陕西安乘汽车服务有限公司 ,陕西省西咸新区秦汉新城西兰路南上召汽车产业园,029-33129555,咸阳市,陕西省
渭南乾丰汽车销售服务有限公司 ,渭南市开发区东风大街西段36号,0913-2335333,渭南市,陕西省
汉中恒信华致汽车销售服务有限公司 ,汉中经济开发区北区108国道北侧崔家沟转盘向西1000米,0916-2311116,汉中市,陕西省
榆林市杰隆汽车销售服务有限责任公司 ,陕西省榆林市榆阳区上郡南路东侧,0912-6667955,榆林市,陕西省
陕西中达兴盛汽车销售服务有限公司 ,陕西省安康市钻石西路东风标致4S店,0915-3366669,安康市,陕西省
甘肃神驰汽车销售有限责任公司 ,甘肃省兰州市城关区大沙坪八里湾加油站向北200米,0931-8332777,兰州市,甘肃省
天水天行泰汽车贸易有限公司 ,甘肃省天水市麦积区羲皇大道东段68号,0938-2089998,天水市,甘肃省
武威黎庆汽车销售服务有限公司 ,甘肃省武威市凉州区城西沿金色大道城市连接线金沙社区西侧,0935-2356088,武威市,甘肃省
张掖市天宜汽车销售服务有限公司 ,甘肃省张掖市滨河新区绿洲现代物流园区规划崇业路和腾飞路交汇处西南角,0936-8892222,张掖市,甘肃省
甘肃金泰源汽车销售服务有限公司 ,甘肃省平凉市崆峒区十里铺工业园区仁河汽配城A区3号4S店,0933-8553001、8553008、,平凉市,甘肃省
庆阳华岳汽车销售服务有限公司 ,甘肃省庆阳市西峰区陇东汽车城,0934-8889832,庆阳市,甘肃省
临夏实达汽车销售有限公司 ,临夏州临夏市穆斯林物流园区环球汽车城4#展厅,0930-6660555,临夏回族自治州,甘肃省
青海兴达汽车销售有限责任公司 ,青海省西宁市城东经济技术开发区昆仑东路26号（车管所西300米处）,0971-8865020 0971-8865021,西宁市,青海省
宁夏仁和致利汽车销售服务有限公司 ,宁夏银川市德胜工业园区109国道18号,0951-8989229/8989166,银川市,宁夏回族自治区
固原正通和汽车销售服务有限公司 ,固原市经济开发区九龙路,0954-2930910,固原市,宁夏回族自治区
新疆永祥恒兴汽车销售有限公司 ,乌鲁木齐赛博特国际汽车城A04-2号,0991-3182688,乌鲁木齐市,新疆维吾尔自治区
新疆华兴汽车销售服务有限公司 ,新疆昌吉市乌伊西路先锋路口向南500米,0994-2562999,昌吉回族自治州,新疆维吾尔自治区
新疆巴州恒昱汽车销售服务有限公司 ,库尔勒市石化大道神州汽车城B区东风标致4S店,0996-2959801,巴音郭楞蒙古自治州,新疆维吾尔自治区
阿克苏汇达汽车销售有限公司 ,阿克苏市内环路金土地汽车城1号展厅,0997-6557888,阿克苏地区,新疆维吾尔自治区
伊犁迅捷汽车服务有限责任公司 ,伊宁市巴彦岱中亚汽车博览中心对面,0999-8888508,伊犁哈萨克自治州,新疆维吾尔自治区
