code,name,type,address,postcode,fax,tel1,telservice,tel24,hasImport,email,callcenter,blacklist,lng,lat,星级数量,星级级别,信用积分,点评数,推荐率,推荐数,服务态度,服务同城,服务水平,办事效率,办事同城,办事水平,专业技能,专业同城,专业水平,诚信可靠,诚信同城,诚信水平,好评率,好评数,差评率,差评数
2250908,济宁交运汽车销售服务有限公司,4S店,山东省济宁市市中区车站西路18号,272200,0537-2565789,/,0537-2567788,0537-2561166,0537-2565789,jiningjiaojun_svw@163.com,0537-2561166,0537-2565789,116.601925,35.39737,4,2,1323,1439,97.98,1410,9.7,.16,下,9.79,.11,下,9.79,.11,下,9.67,.18,下,92.49,1331,.27,4
2250909,邹城润诚汽车销售服务有限公司,4S店,山东省济宁市邹城市国宏大道6369-3号,273500,0537-5308098,/,0537-5831888,0537-5831888,0537-5308098,svw0537_zc@163.com,0537-5791999,0537-5308098,116.982385,35.445756,5,1,599,646,98.14,634,10,2.85,上,10,1.98,上,10,1.98,上,10,3.15,上,93.65,605,.46,3
3250902,梁山润诚汽车销售服务有限公司,直营店,山东省济宁市梁山镇工业园,272600,0537-7731800,/,0537-7618222,0537-7618800,0537-7731800,runhua7688@163.com,0537-7618800,0537-7731800,116.12532,35.76149,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
6250702,烟台金岭汽车销售服务有限公司莱山城市快修店,城市快修店,山东省烟台市莱山区港城东大街293号,264002,/,/,0535-6097811,0535-6097812,/,jlcszt@163.com,0535-6097812,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
6250701,烟台金岭汽车销售服务有限公司莱山分公司,城市展厅,山东省烟台市莱山区港城东大街293号,264006,0535-6097801,/,0535-6097811,0535-6523118,0535-6097801,jlcszt@163.com,0535-6097812,0535-6097801,121.4732553,37.4591426,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2250701,烟台明珠汽车销售服务有限公司,4S店,山东省烟台市开发区庐山路1888号,264006,0535-6396058,/,0535-6392158,0535-6392159,0535-6396058,svw1431@163.com,0535-6392159,0535-6396058,121.27952,37.541929,5,1,411,440,99.77,439,/,/,空,/,/,空,/,/,空,/,/,空,94.31,415,.45,2
2250702,烟台吉安汽车销售服务有限公司,4S店,山东省烟台市牟平区北关大街756号,264100,0535-4253899,/,0535-4266666,0535-4289999,0535-4253899,mupingdazhong@163.com,0535-4289999,0535-4253899,121.589782,37.39639,3,1,232,249,98.79,246,10,0,空,10,.52,上,10,1.6,上,10,1.6,上,93.17,232,0,0
2250704,烟台华鑫汽车销售服务有限公司,4S店,山东省烟台市芝罘区机场路188号,264004,0535-6661955,/,0535-6678888,0535-6679999,0535-6661955,ythuaxin@yt-public.sd.cninfo.net,0535-6679999,0535-6661955,121.370048,37.488633,1,2,678,714,98.73,705,10,0,空,10,.52,上,10,1.6,上,10,1.6,上,95.23,680,.14,1
2250705,烟台金岭汽车销售服务有限公司,4S店,山东省烟台市芝罘区只楚路44号,264002,0535-6523777,/,0535-6535888,0535-6523118,0535-6523777,ytjlqc@163.com,0535-6523118,0535-6523777,120.463928,37.662321,1,2,744,779,98.07,764,10,0,空,9.87,.72,下,9.62,2.2,下,9.87,.33,上,96.27,750,.38,3
2250710,烟台龙润汽车销售服务有限公司,4S店,山东省烟台市龙口市264省道北、福寿大道西,265700,0535-3460080,/,0535-3455888,0535-3460066,0535-3460080,ytlrqc@163.com,0535-3460075,0535-3460080,120.453001,37.65639,4,1,336,350,99.71,349,10,0,空,10,.52,上,10,1.6,上,10,1.6,上,96,336,0,0
2250703,龙口蓝海汽车销售有限公司,维修站,山东省烟台市龙口市龙港经济开发区和平路137号,265700,0535-8811288,/,/,0535-8817788,0535-8811288,SVW1422@PUBLIC.YTPTT.SD.CN,0535-8817788,0535-8811288,120.341859,37.636335,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2250711,烟台金岭龙盛汽车销售服务有限公司,4S店,山东省烟台市莱州市城港南路1098号,261400,0535-2293927,/,0535-2577111,0535-2290799,0535-2293927,ytjlls@163.com,0535-2290799,0535-2293927,119.94244,37.221563,4,1,400,434,99.07,430,10,0,空,10,.52,上,10,1.6,上,9.69,1.52,下,92.16,400,0,0
2250712,海阳市海嘉汽车销售服务有限公司,4S店,山东省烟台市海阳市海天路188号,265100,0535-3299201,/,0535-3299999,0535-3299998,0535-3299201,svwhjxszj@163.com,0535-3299998,0535-3299201,121.1929932,36.771412,1,1,13,17,82.35,14,/,/,空,/,/,空,/,/,空,/,/,空,88.23,15,5.88,1
2250714,莱阳鲁花汽车销售有限公司,4S店,山东省烟台市莱阳市古柳五龙南路324号,265200,0535-7291219,/,/,/,0535-7291219,Wangshumei@luhua.cn,/,0535-7291219,120.709623,36.933152,/,/,0,2,100,2,/,/,空,/,/,空,/,/,空,/,/,空,0,0,0,0
3250704,蓬莱市吉安汽车销售服务有限公司,直营店,山东省蓬莱市海市路112号-8号,265600,0535-5950766,/,0535-5722222,0535-5668777,0535-5950766,mupingdazhong@163.com,0535-5668777,0535-5950766,120.797557,37.807195,1,1,25,27,96.29,26,/,/,空,/,/,空,/,/,空,/,/,空,92.59,25,0,0
3250706,栖霞吉安汽车服务有限公司,直营店,山东省栖霞市庄园桥向东1500米路北,265300,0535-5203055,/,0535-5316555,0535-5316999,0535-5203055,acaijunjian@163.com,0535-5316999,0535-5203055,120.854627,37.324983,1,1,18,23,100,23,/,/,空,/,/,空,/,/,空,/,/,空,78.26,18,0,0
3251103,日照乾通岚山专营店,专营店,山东省日照市岚山区轿顶山路298号鲁圣大厦对过,276800,0633-8769777,/,0633-8800888,0633-8769666,0633-8769777,/,0633-8769666,0633-8769777,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2251102,日照兴安汽车销售服务有限公司,4S店,山东省日照市东港区海曲东路1号,276800,0633-3283078,/,0633-8278111,0633-3280848,0633-3283078,fhl_2000@hotmail.com,0633-3280848,0633-3283078,119.492688,35.426317,1,2,608,638,98.74,630,10,0,空,10,0,空,10,0,空,10,0,空,95.61,610,.15,1
2251104,日照市乾通汽车销售服务有限公司,4S店,山东省日照市东港区柳州路以北、南昌路西侧（奎山汽车城）,276800,0633-8769777,/,0633-8800888,0633-8769666,0633-8769777,svw7431474@126.com,0633-8769666,0633-8769777,119.438666,35.395825,5,1,523,543,100,543,/,/,空,/,/,空,/,/,空,/,/,空,96.68,525,.18,1
2251103,莒县晨宇汽车销售服务有限公司,4S店,山东省日照市莒县山东北路130号,276500,0633-6261288,/,0633-6899888,0633-6261788,0633-6261288,svw74314360@126.com,0633-6261788,0633-6261288,118.821439,35.616929,5,1,501,526,99.23,522,10,0,空,10,0,空,10,0,空,10,0,空,95.62,503,.19,1
3251102,五莲县乾通汽车销售服务有限公司,4S店,山东省日照市五莲县央赣路西（工业学校南）,262300,0633-5882058,/,0633-5239678,0633-5881058,0633-5882058,wulianchenyu@126.com,0633-5881058,0633-5882058,119.20982,35.731274,2,1,107,109,100,109,/,/,空,/,/,空,/,/,空,/,/,空,98.16,107,0,0
3251003,泰安润之福汽车销售有限公司东平分公司,专营店,山东省泰安市东平县泰龙路龙山大街168号,271500,0538-6589686,/,0538-8519797,0538-8489797,0538-6589686,/,0538-8489797,0538-6589686,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
3251002,泰安金驰汽车销售服务有限公司肥城专营店,专营店,山东省泰安市肥城市王瓜店镇泰临路亿丰国际汽贸城,271600,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2251002,泰安北方众泰汽车销售服务有限公司,4S店,山东省泰安市岱岳区泰山大街392号,271000,0538-8561528,/,0538-8561567,0538-8561757,0538-8561528,tabf-dzxsh@163.com,0538-8561757,0538-8561528,117.054243,36.189751,4,1,350,388,98.96,384,/,/,空,/,/,空,/,/,空,/,/,空,90.72,352,.25,1
2251005,泰安金驰汽车销售服务有限公司,4S店,山东省泰安市高新区长城路以东（华君汽车城以北）,271000,0538-8161291,/,0538-8878787,0538-8878800,0538-8161291,svwtajc@163.com,0538-8878800,0538-8161291,117.099872,36.099196,4,1,355,389,97.68,380,10,0,空,10,2.73,上,10,0,空,10,1.35,上,91.77,357,.25,1
2251001,泰安众达汽车销售服务有限公司,维修站,山东省泰安市泰山区东岳大街东段消防支队东邻,271000,0538-6113845,/,0538-6118278,0538-6113845,0538-6113845,svw1407@163.com,0538-6113845,0538-6113845,117.164773,36.198933,2,1,118,123,99.18,122,/,/,空,/,/,空,/,/,空,/,/,空,95.93,118,0,0
2251006,泰安润之福汽车销售有限公司,4S店,山东省泰安市泰山区泰前大街与科技中路交汇处,271000,0538-6589686,/,0538-8519797,0538-8489797,0538-6589686,svw1493@sdjiuqi.com,0538-8489797,0538-6589686,117.208535,36.212781,4,1,326,358,97.48,349,10,0,空,9.66,.68,下,10,0,空,9.83,.33,下,92.17,330,.55,2
2251007,泰安成源汽车销售有限公司,4S店,山东省泰安市新泰市国贸路新泰汽车城,271200,0538-7058656,/,0538-7778111,0538-7778111,0538-7058656,taiancy@sdjiuqi.com,0538-7058656,0538-7058656,117.763648,35.897696,1,1,34,40,95,38,10,0,空,10,2.73,上,10,0,空,10,1.35,上,90,36,2.5,1
3250802,威海鑫通德众汽车贸易有限公司乳山分公司,专营店,山东省威海市乳山市经济开发区广州路日信红绿灯西1500米路南,264500,0631-5992323,/,0631-6617718,0631-5998166,0631-5992323,/,0631-5998166,0631-5992323,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2250802,威海鑫通德众汽车贸易有限公司,4S店,山东省威海市经技区山东省威海市经技区珠海路-665-3号,264200,0631-5992323,/,0631-5997700,0631-5998166,0631-5992323,svw790214@163.com,0631-5998166,0631-5992323,122.149965,37.411253,3,1,215,230,99.13,228,/,/,空,/,/,空,/,/,空,/,/,空,93.47,215,0,0
2250807,威海安吉金阳光汽车销售服务有限公司,4S店,山东省威海市工业新区青威高速路东浙江路北金阳光汽博城3号,264211,0631-5551186,/,0631-5551199,0631-5551195,0631-5551186,cccqxy1218@sina.com,0631-5551195,0631-5551186,122.148176,37.333004,3,1,203,217,97.69,212,/,/,空,/,/,空,/,/,空,/,/,空,94.47,205,.46,1
2251604,滨州和硕汽车销售服务有限公司,4S店,山东省滨州市滨城区220国道渤海十一路汽车城,256600,0543-2192799,/,0543-2192444,0543-2192444,0543-2192799,bzdzinfo@126.com,0543-3528999,0543-2192799,118.021807,37.432533,4,2,1342,1416,98.87,1400,10,.52,上,9.97,.48,上,9.97,.48,上,9.95,.44,上,95.76,1356,.49,7
2251606,滨州和佳汽车销售服务有限公司,4S店,山东省滨州市滨城区渤海三十路西,256600,0543-5021670,/,0543-5021666,0543-5022999,0543-5021670,svw1484@126.com,0543-5022999,0543-5021670,117.883038,37.385401,2,2,954,982,99.49,977,/,/,空,/,/,空,/,/,空,/,/,空,97.14,954,0,0
2251607,滨州尚众汽车销售服务有限公司,4S店,山东省滨州市黄河五路西首物流中心,256600,0543-3797680 ,/,0543-3796666,0543-3797636,0543-3797680 ,shangzhongauto@163.com,0543-3798111,0543-3797680 ,117.844795,37.370157,1,2,645,704,98.01,690,9.33,6.17,下,9.33,6,下,9.33,6,下,9.33,5.84,下,93.03,655,.71,5
2251605,山东邹平金通汽车销售服务有限公司,4S店,山东省滨州市邹平县黛溪三路新汽车站北邻,256200,0543-4344003,/,0543-4344028,0543-4345688,0543-4344003,svw1478@sina.com,0543-4345688,0543-4344003,117.74503,36.903846,1,2,614,655,98.62,646,10,.52,上,10,.7,上,10,.7,上,10,.88,上,94.35,618,.3,2
2251608,山东博兴运达汽车销售服务有限公司,4S店,山东省滨州市博兴县滨博大街3998号,256501,0543-2608797,/,0543-2306111,0543-2309000,0543-2608797,svwbxydzjl@163.com,0543-2309000,0543-2608797,118.1411591,37.1479689,1,1,25,33,90.9,30,/,/,空,/,/,空,/,/,空,/,/,空,87.87,29,6.06,2
3251601,山东省博兴县众合汽车销售服务有限公司,直营店,山东省滨州市博兴县大世界北首,256500,0543-2300854,/,0543-2307125,0543-2300854,0543-2300854,SVW1416@PUBLIC.BZPTT.SD.CN,0543-2300854,0543-2300854,118.135569,37.162462,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2251609,滨州和辉汽车销售服务有限公司,4S店,山东省滨州市惠民县东关转盘以北鲁北大道以西乐胡路东北,251700,0543-5057010,/,0543-5057444,0543-5057999,0543-5057010,svw2251609@126.com,0543-5057999,0543-5057010,117.510451,37.489769,1,1,40,43,100,43,/,/,空,/,/,空,/,/,空,/,/,空,93.02,40,0,0
3251602,无棣和顺汽车销售服务有限公司,直营店,山东省滨州市无棣县城北环路43号,251900,0543-6360098,/,0543-6360013,0543-6360012,0543-6360098,wdsvw@126.com,0543-6360012,0543-6360098,117.639555,37.74889,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2250500,东营市安运汽车机械工程有限责任公司,4S店,山东省东营市河口区明河路10号,257200,0546-7715966,/,0546-3636777,0546-3636369,0546-7715966,svw7431460@126.com,0546-3636369,0546-7715966,118.551009,37.857526,2,1,114,119,99.15,118,/,/,空,/,/,空,/,/,空,/,/,空,95.79,114,0,0
2250502,东营石大汽车销售服务有限公司,4S店,山东省东营市东营区北二路271号,257061,0546-8224221,/,0546-8394678,0546-8392578,0546-8224221,LVLIX1977@163.COM,0546-8392578,0546-8224221,118.551479,37.477293,2,2,926,967,99.68,964,9.97,.1,上,9.94,.2,上,10,.2,上,10,.6,上,95.96,928,.1,1
2250504,东营广发汽车销售服务有限公司,4S店,山东省东营市东营区东八路79号,257000,0546-8155111,/,0546-8155777,0546-8155000,0546-8155111,dongyingguangfa@163.com,0546-8155000,0546-8155111,118.765731,37.445914,4,1,372,385,99.22,382,9.84,1.14,下,9.69,2.29,下,9.84,1.34,下,9.69,2.49,下,97.14,374,.25,1
2250505,东营德众汽车销售有限公司,4S店,山东省东营市垦利县北二路11号,257000,0546-7077702,/,0546-7077666,0546-7072777,0546-7077702,svw1489@163.com,0546-7072777,0546-7077702,118.445218,37.484588,1,2,739,790,99.24,784,10,.4,上,10,.8,上,10,.2,上,10,.6,上,94.55,747,.5,4
2250506,东营瑞东汽车销售有限公司,4S店,山东省东营市广饶县经济开发区原广码路以北,257300,0546-6453455,/,0546-7082345,0546-7793377,0546-6453455,wenfang218@163.com,0546-7793377,0546-6453455,118.440487,37.078463,4,1,318,337,98.81,333,10,.4,上,10,.8,上,10,.2,上,9.77,1.63,下,94.95,320,.29,1
3250503,东营石大汽车销售服务有限公司利津分公司,直营店,山东省东营市利津县滨港路219号,257400,0546-5625757,/,0546-5622888,0546-5622555,0546-5625757,svw74344270@163.com,0546-5622555,0546-5625757,118.263694,37.50891,1,1,7,8,87.5,7,/,/,空,/,/,空,/,/,空,/,/,空,87.5,7,0,0
2251703,菏泽众通汽车销售服务有限公司,4S店,山东省菏泽市牡丹区黄河东路1221号,274000,0530-2044444,/,0530-6162888,0530-6291000,0530-2044444,hzdzsh@163.com,0530-6291000,0530-2044444,115.555934,35.268615,3,1,215,244,97.13,237,/,/,空,/,/,空,/,/,空,/,/,空,88.93,217,.4,1
2251704,菏泽鲁西南汽车城有限责任公司,4S店,山东省菏泽市牡丹区昆明路2999号,274039,0530-5568586,/,0530-5564888,0530-5564777,0530-5568586,svw2251704@163.com,0530-5564777,0530-5568586,115.42017,35.253841,2,2,977,1068,97.56,1042,9.97,0,空,9.85,0,空,10,0,空,9.88,0,空,92.6,989,.56,6
2251702,菏泽众望汽车销售服务有限公司,4S店,山东省菏泽市牡丹区人民路969号,274012,0530-5333277,/,0530-5366488,0530-5336420,0530-5333277,hzdz@163169.net,0530-5336420,0530-5333277,115.503327,35.246361,2,1,109,124,95.96,119,/,/,空,/,/,空,/,/,空,/,/,空,87.9,109,0,0
2251705,单县众友汽车销售服务有限公司,4S店,山东省菏泽市单县健康路136号,274300,0530-2092029,/,0530-6106888,0530-2092015,0530-2092029,jtjtaq013@163.com,0530-2092008,0530-2092029,116.0823738,34.7856011,1,1,24,31,90.32,28,/,/,空,/,/,空,/,/,空,/,/,空,90.32,28,6.45,2
3251701,菏泽众望汽车销售服务有限公司郓城众发分公司,直营店,山东省邺城县蒋庙灯塔南300米路西,274700,0530-6439555,/,0530-6415666,0530-6576111,0530-6439555,hzdz@163169.com,0530-6576111,0530-6439555,115.918169,35.574109,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2251706,郓城万佳汽车销售服务有限公司,4S店,山东省菏泽市郓城县工业园区郭林社区东200米,274700,0530-6357127,/,/,/,0530-6357127,yunchengwanjia@163.com,/,0530-6357127,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2250102,济南华通俊德汽车销售有限公司,4S店,山东省济南市槐荫区新沙北路9号,250118,0531-86955186,/,0531-88760999,0531-86956568,0531-86955186,huatongqiche@vip.163.com,0531-88761999,0531-86955186,116.938258,36.710994,4,1,373,393,98.21,386,/,/,空,/,/,空,/,/,空,/,/,空,95.41,375,.25,1
2250101,山东润华天众汽车销售服务有限公司,4S店,山东省济南市槐荫区经十西路润华汽车园,250117,0531-87502866,/,0531-87527611,0531-87985344,0531-87502866,2251474@163.com,0531-87527619,0531-87502866,116.846133,36.645689,5,2,1640,1911,97.27,1859,9.72,2.32,下,9.65,2.8,下,9.79,1.3,下,9.79,1.19,下,87.17,1666,.68,13
2250106,山东齐鲁汽车贸易有限公司,4S店,山东省济南市历城区北园大街69号,250100,0531-88663066,/,0531-88669966,0531-88666699,0531-88663066,qlqm2002@163.com,0531-88666699,0531-88663066,117.059184,36.700179,1,2,788,871,97.58,850,10,.44,上,10,.66,上,10,.77,上,9,9.19,下,91.61,798,.57,5
2250108,山东银座天逸汽车有限公司,4S店,山东省济南市历城区经十东路2289号,250100,0531-88727530,/,0531-88927777,0531-88727550,0531-88727530,SVW7431448@163.com,0531-88727555,0531-88727530,117.189014,36.67647,4,1,359,388,97.68,379,/,/,空,/,/,空,/,/,空,/,/,空,93.55,363,.51,2
2250113,济南大谦汽车销售服务有限公司,4S店,山东省济南市历城区工业北路70号,250101,0531-88815529,/,0531-88988000,0531-88806788,0531-88815529,jndqsvw@163.com,0531-88815519,0531-88815529,117.134579,36.725668,2,2,927,1016,98.12,997,10,.44,上,10,.66,上,10,.77,上,10,.89,上,92.42,939,.59,6
2250114,山东鸿发申鲁汽车销售服务有限公司,4S店,山东省济南市市中区十六里河街道办事处大涧沟西村西北,250002,0531-67987977,/,0531-82785678,0531-86086060,0531-67987977,nieyong@hfvw.cn,0531-86086060,0531-67987977,116.993521,36.57456,1,2,740,785,98.72,775,10,.44,上,9.98,.49,上,9.93,.08,上,9.93,.19,上,94.52,742,.12,1
2250115,山东凯文汽车销售服务有限公司,4S店,山东省济南市章丘市双山创业路421号,250200,0531-83110388,/,0531-58705999,0531-58679000,0531-83110388,sdkwsvw@126.com,0531-58679000,0531-83110388,117.493146,36.680903,2,2,852,884,98.86,874,10,.44,上,10,.66,上,10,.77,上,10,.89,上,96.6,854,.11,1
3250102,山东齐鲁汽车销售有限公司,4S店,山东省济阳县济北区富阳街69号,250000,0531-81171789,/,0531-81171666,0531-81171678,0531-81171789,qldz2007@163.com,0531-81171678,0531-81171789,117.164191,36.97445,1,1,2,2,100,2,/,/,空,/,/,空,/,/,空,/,/,空,100,2,0,0
2251202,莱芜市联众汽车销售服务有限公司,4S店,山东省莱芜市莱城区汽车商贸城北首,271100,0634-6785600,/,0634-6192888,0634-6121604,0634-6785600,lwlianzhong@163.com,0634-6121604,0634-6785600,117.657918,36.295342,4,1,351,372,98.92,368,/,/,空,/,/,空,/,/,空,/,/,空,94.35,351,0,0
3251202,莱芜市联众汽车销售服务有限公司钢城分公司,直营店,山东省莱芜市钢城区颜庄镇,271103,0634-6466188,/,0634-6466188,0634-6466399,0634-6466188,lwwangling@163.com,0634-6466399,0634-6466188,117.782234,36.124039,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2251501,聊城市五州商务汽车销售有限公司,4S店,山东省聊城市东昌府区开发区东昌东路东首,252000,0635-8880569,/,0635-8880555,0635-8880555,0635-8880569,SVW1471@163169.NET,0635-8880567,0635-8880569,116.080496,36.464649,2,2,987,1082,97.22,1052,10,0,空,9.84,.36,下,9.84,.36,下,10,0,空,93.06,1007,.92,10
2251503,聊城市五州众达汽车销售服务有限公司,4S店,山东省聊城市东昌府区光岳路西、双力路北,252000,0635-8805805,/,0635-8805666,0635-8805977,0635-8805805,svw14760@bdchina.com,0635-8311188,0635-8805805,116.033304,36.485087,5,1,575,621,97.58,606,10,0,空,10,1.19,上,10,1.19,上,10,0,空,93.88,583,.64,4
3251501,山东聊城华达汽车销售服务有限公司,直营店,山东省聊城市湖南路38号,252000,0635-8241386,/,0635-8246066,0635-8241362,0635-8241386,SVW1419@LC-PUBLIC.SD.CNINFO.NET,0635-8241362,0635-8241386,115.985822,36.433136,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
2251504,聊城裕达汽车销售服务有限公司,4S店,山东省聊城市临清市南环路东首,252600,0635-2553456,/,0635-2553777,0635-2558777,0635-2553456,svw14900@bdchina.com,0635-2558777,0635-2553456,115.731973,36.805982,5,1,455,500,99,495,10,0,空,10,1.19,上,10,1.19,上,10,0,空,92.2,461,.6,3
2251505,阳谷五洲汽车销售服务有限公司,4S店,山东省聊城市阳谷县狮子楼办事处黄河路西段,252000,0635-6173790,/,0635-6173777,0635-6173222,0635-6173790,wuzhouzqx@163.com,0635-6173222,0635-6173790,115.776944,36.12849,4,1,311,326,99.38,324,10,0,空,10,1.19,上,10,1.19,上,10,0,空,95.39,311,0,0
2251506,茌平裕达汽车销售服务有限公司,4S店,山东省聊城市茌平县朝阳街南首路东,252100,0635-8805889,/,0635-2980333,0635-2983222,0635-8805889,svw2251506@163.com,0635-2983222,0635-8805889,116.25527,36.580689,1,1,48,54,96.29,52,/,/,空,/,/,空,/,/,空,/,/,空,92.59,50,1.85,1
3251502,聊城五洲富达汽车销售服务有限公司,4S店,山东省聊城市高唐县开发区金城路与超越路交界口,252800,0635-3962266,/,0635-3981567,0635-3981600,0635-3962266,svw3251502@163.com,0635-3981600,0635-3962266,116.205312,36.873113,1,1,15,16,100,16,/,/,空,/,/,空,/,/,空,/,/,空,93.75,15,0,0
2251401,临沂丰华汽车销售服务有限公司,4S店,山东省临沂市罗庄区通达路与沂河路交汇处向西1000米,276017,0539-8465903,/,0539-8465929,0539-8465555,0539-8465903,svwlyqgm@126.com,0539-8465555,0539-8465903,118.305942,35.021673,1,3,1856,1971,98.17,1935,9.86,0,空,10,1.35,上,9.73,.45,下,10,3.21,上,94.97,1872,.4,8
2251405,临沂盛华汽车销售服务有限公司,4S店,山东省临沂市兰山区双岭路与京沪高速公路交汇处东侧远通汽车大世界院内,276000,0539-8565680,/,0539-7678558,0539-7678555,0539-8565680,svwshenghua@126.com,0539-7678555,0539-8565680,118.265306,35.13842,1,2,694,751,97.86,735,10,1.35,上,10,1.35,上,10,2.27,上,10,3.21,上,93.47,702,.53,4
2251403,临沂金羊汽车销售服务有限公司,4S店,山东省临沂市兰山区解放路207号,276000,0539-8079769,/,0539-8223215,0539-8224247,0539-8079769,jlshiyuntong@163.com,0539-8224247,0539-8079769,118.327464,35.073344,1,2,791,872,97.59,851,10,1.35,上,10,1.35,上,10,2.27,上,9.5,1.94,下,92.54,807,.91,8
2251406,临沭远通汽车销售服务有限公司,4S店,山东省临沂市临沭县苍山路与327国道交汇处,276700,0539-2138398,/,0539-2138666,0539-2138669,0539-2138398,svwlsyt@126.com,0539-2138669,0539-2138398,118.666385,34.947109,4,1,379,400,97.25,389,10,1.35,上,10,1.35,上,10,2.27,上,10,3.21,上,94.75,379,0,0
2251407,兰陵琪华汽车销售服务有限公司,4S店,山东省临沂市兰陵县县206国道与泉山路交汇西200米路南,277700,0539-5239598,/,0539-5425678,0539-5426789,0539-5239598,wangfengxi8089@163.com,0539-5426789,0539-5239598,118.0484,34.87971,4,1,317,346,96.82,335,/,/,空,/,/,空,/,/,空,/,/,空,92.19,319,.28,1
2251408,沂南丰华汽车销售服务有限公司,4S店,山东省沂南县界湖街道张南路东侧,276300,0539-8471119,/,0539-3221111,0539-3223111,0539-8471119,ynfh99@163.com,0539-3223111,0539-8471119,118.45146,35.556017,3,1,288,312,96.15,300,/,/,空,/,/,空,/,/,空,/,/,空,93.58,292,.64,2
2251409,蒙阴丰华汽车销售服务有限公司,4S店,山东省临沂市蒙阴县西环路中段,276200,0539-4738962,/,0539-4800877,0539-4800177,0539-4738962,myfh99@163.com,0539-4800177,0539-4738962,117.961932,35.70323,4,1,320,334,99.1,331,/,/,空,/,/,空,/,/,空,/,/,空,96.4,322,.29,1
2251410,费县丰华汽车销售服务有限公司,4S店,山东省临沂市费县东外环路新一中北300米,273400,0539-85936888,/,/,/,0539-85936888,liuxiang7717@163.com,/,0539-85936888,117.629965,35.494771,1,1,17,17,100,17,10,1.35,上,10,1.35,上,10,2.27,上,10,3.21,上,100,17,0,0
2251411,沂水丰华汽车销售服务有限公司,4S店,山东省临沂市沂水县经济开发区腾飞路以南,276400,0539-8465903,/,/,/,0539-8465903,Wangfengxi8089@163.com,/,0539-8465903,118.655455,35.758097,1,1,5,5,100,5,/,/,空,/,/,空,/,/,空,/,/,空,100,5,0,0
3251401,平邑远通汽车销售服务有限公司,直营店,山东省平邑县蒙山大道与银花路交汇处东200米路北,276000,0539-4882688,/,0539-2032011,0539-2032099,0539-4882688,xuzhaoqian@163.com,0539-2032099,0539-4882688,117.629624,35.494495,3,1,219,230,99.56,229,/,/,空,/,/,空,/,/,空,/,/,空,95.21,219,0,0
3251405,莒南远通汽车销售服务有限公司,直营店,山东省莒南县县城岚济路西段,276600,0539-7221377,/,0539-2123229,0539-2123222,0539-7221377,raulzyn@163.com,0539-2123222,0539-7221377,118.890078,35.213118,1,1,3,3,100,3,/,/,空,/,/,空,/,/,空,/,/,空,100,3,0,0
3251406,郯城远通汽车销售服务有限公司,直营店,山东省郯城县南外环路南,276100,0539-2056007,/,0539-2056066,0539-2056067,0539-2056007,svwlyqgm@126.com,0539-2056070,0539-2056007,118.361998,34.60096,3,1,206,213,98.59,210,/,/,空,/,/,空,/,/,空,/,/,空,96.71,206,0,0
2251404,临沂金伦汽车销售服务有限公司,4S店,山东省临沂市河东区岚兖公路区政府东2000米,276034,0539-8381114,/,0539-8381118,0539-8383268,0539-8381114,svw2251404@126.com,0539-8383268,0539-8381114,118.430784,35.100399,2,1,182,204,95.58,195,9.5,3.71,下,9.25,6.25,下,9.25,5.39,下,9.25,4.52,下,92.15,188,1.47,3
2250200,青岛润众汽车销售服务有限公司,4S店,山东省青岛市城阳区流亭街道赵哥庄308国道东,266108,0532-87721868,/,0532-87721866,0532-87721789,0532-87721868,qdrz2250200@163.com,0532-87721789,0532-87721868,120.429043,36.263433,5,2,1440,1508,98.87,1491,10,0,空,10,.34,上,10,0,空,10,.34,上,95.62,1442,.06,1
2250205,青岛华之杰汽车销售服务有限公司,4S店,山东省青岛市四方区308国道22号,266000,0532-85031188,/,0532-85032222,0532-85035999,0532-85031188,albertliou@163.com,0532-85035999,0532-85031188,120.403836,36.12108,1,1,33,34,100,34,/,/,空,/,/,空,/,/,空,/,/,空,97.05,33,0,0
